Will i want?;Хочу ли я?
Will you change?;Будешь менять?
You will not change.;Ты не изменишься.
You will change.;Ты изменишься.
Do you change?;Ты меняешь?
You don't change.;Ты не меняешься.
You change.;Вы меняете.
Did you change?;Вы изменили?
You didn't change.;Вы не изменились.
You changed.;Ты изменился.
Will we change?;Будем ли мы меняться?
We will not change.;Мы не изменимся.
We will change.;Мы изменим.
Do we change?;Мы меняемся?
We don't change.;Мы не меняемся.
We change.;Мы меняемся.
Did we change?;Мы изменились?
We didn't change.;Мы не изменились.
We changed.;Мы изменились.
Will they change?;Они изменятся?
They will not change.;Они не изменятся.
They will change.;Они изменятся.
Do they change?;Они меняются?
They don't change.;Они не меняются.
They change.;Они меняются.
Did they change?;Они изменились?
They didn't change.;Они не изменились.
They changed.;Они изменились.
Will he change?;Он изменится?
He will not change.;Он не изменится.
He will change.;Он изменится.
Does he change?;Он меняется?
He doesn't change.;Он не меняется.
He changes.;Он меняется.
Did he change?;Он изменился?
He didn't change.;Он не изменился.
He changed.;Он изменился.
Will she change?;Она изменится?
She will not change.;Она не изменится.
She will change.;Она изменится.
Does she change?;Она меняется?
She doesn't change.;Она не меняется.
She changes.;Она меняется.
Did she change?;Она изменилась?
She didn't change.;Она не изменилась.
She changed.;Она изменилась.
Will i lead?;Буду ли я вести?
I will not lead.;Я не буду вести.
I will lead.;Я буду вести.
Do i lead?;Я веду?
I don't lead.;Я не веду
I lead.;Я веду.
Did i lead?;Я вел?
I didn't lead.;Я не вел
I led.;Я привел.
Will you lead?;Будешь ли ты вести?
You will not lead.;Вы не будете вести.
You will lead.;Вы будете вести.
Do you lead?;Ты ведешь?
You don't lead.;Ты не ведешь.
You lead.;Ты ведешь.
Did you lead?;Ты привел?
You didn't lead.;Вы не вели
You led.;Вы привели.
Will we lead?;Будем ли мы вести?
We will not lead.;Мы не будем вести.
We will lead.;Мы будем вести.
Do we lead?;Мы ведем?
We don't lead.;Мы не ведем.
We lead.;Мы ведем.
Did we lead?;Мы привели?
We didn't lead.;Мы не вели.
We led.;Мы привели.
Will they lead?;Будут ли они вести?
They will not lead.;Они не приведут.
They will lead.;Они поведут.
Do they lead?;Они ведут?
They don't lead.;Они не ведут.
They lead.;Они ведут.
Did they lead?;Они привели?
They didn't lead.;Они не вели.
They led.;Они привели.
Will he lead?;Будет ли он вести?
He will not lead.;Он не приведет.
He will lead.;Он поведет.
Does he lead?;Он ведет?
He doesn't lead.;Он не ведет.
He leades.;Он ведет.
Did he lead?;Он вел?
He didn't lead.;Он не вел.
He led.;Он вел.
Will she lead?;Будет ли она вести?
She will not lead.;Она не приведет.
She will lead.;Она поведет.
Does she lead?;Она ведет?
She doesn't lead.;Она не ведет.
She leades.;Она ведет.
Did she lead?;Она привела?
She didn't lead.;Она не привела.
She led.;Она привела.
Will i watch?;Я посмотрю?
I will not watch.;Я не буду смотреть.
I will watch.;Я буду смотреть.
Do i watch?;Я смотрю?
I don't watch.;Я не смотрю
I watch.;Я смотрю.
Did i watch?;Я смотрел?
I didn't watch.;Я не смотрел.
I watched.;Я смотрел.
